no;smiles;biotic_flag;ExactMolWt;MolLogP;NumHAcceptors;NumHDonors
99;NC(=O)Cc1nc[nH]c1NCCc1ccccc1;0;244.132411132;1.0920999999999994;3.0;3.0
100;C=CC(C#N)N(C=CC#N)C(C)C#N;0;186.09054632;1.3159399999999999;4.0;0.0
101;N#CCCNC(C(N)=O)C(O)C(O)CO;0;217.10625596;-2.942319999999999;6.0;5.0
102;N#CCCC=NCC(=O)NCC(=O)NC(C#N)CO;0;265.11748934;-1.5221399999999983;6.0;3.0
103;CC(C#N)NC(=O)CCN(C=CC#N)C(C#N)CC#N;0;270.122909068;0.5499199999999997;6.0;1.0
104;N#CCCNC(=O)CNCCC(=O)OCc1cnc[nH]1;0;279.133139404;-0.53752;6.0;3.0
105;C=CC(C#N)N(CCC#N)CC(=O)NCCC#N;0;245.12766009999999;0.3101399999999999;5.0;1.0
106;NC(=O)CN(CC(O)C(O)CO)C(N)=O;0;221.10117058;-3.433499999999999;5.0;5.0
107;Nc1[nH]cnc1CC(=S)NCC(=O)O;0;214.05244656;-0.46400000000000025;4.0;4.0
108;C=CC=NCC(=O)NCC#N;0;151.074561908;-0.11702000000000007;3.0;1.0
109;COC(=O)CC(NC(C#N)Cc1ccccc1)C(=O)OC;0;290.126657056;0.8155799999999993;6.0;1.0
110;CC(C=Nc1ncc(Cc2ccccc2)o1)NC(=N)N;0;271.143310164;1.83927;4.0;3.0
111;C=CC(O)C(C(=O)O)=C(NC(C(N)=O)C(N)=O)C(=O)O;0;287.075349756;-3.1145999999999976;6.0;6.0
112;C=CC=Nc1nc(C=C)nc(N(CCC#N)CCC#N)n1;0;281.13889348000004;2.03666;7.0;0.0
113;N#CCN(CC#N)c1nc(N)nc(CCNC(N)=O)n1;0;275.124306036;-1.4818399999999992;8.0;3.0
114;COC(=O)C(=O)C(C(=O)OC)=C(C)CO;0;216.063388104;-0.7897000000000001;6.0;1.0
115;CSCCC(=O)NC(C#N)Cc1ccccc1;0;248.098334132;1.9905799999999998;3.0;1.0
116;CC(=O)C=Nc1[nH]cnc1C(O)C(O)CO;0;227.090605896;-0.9124000000000001;6.0;4.0
