smiles; heat of formation [kcal/mol]
Cc1cnc(NC(=O)CCN(C(N)=O)C(C#N)CO)o1;-114.36757
Cc1cnc(NC(=O)CC(NC(N)=O)C(=O)Nc2ncc(C)o2)o1;-144.42117
Cc1cnc(NC(=O)CCNC(N)=O)o1;-100.43616
Cc1cnc(NC(=O)CCN(C=O)C(Cc2ccccc2)C(N)=O)o1;-123.41607
Cc1cnc(NC(=O)CCN(C=O)C(Cc2ccccc2)C(=O)O)o1;-165.98984
Cc1cnc(NC(=O)CCN(C=O)C(CC#N)C(N)=O)o1;-110.52834
Cc1cnc(NC(=O)CCN(C=O)C(C)C#N)o1;-62.17222
Cc1cnc(NC(=O)CCN(C=O)CCC#N)o1;-65.25641
Cc1cnc(NC(=O)CCN(C=O)C(CC(N)=O)C(N)=O)o1;-188.62131
Cc1cnc(NC(=O)CCN(C=O)CCC(N)=O)o1;-145.1941
Cc1cnc(NC(=O)CCN(C=O)C(CC(=O)O)C(=O)O)o1;-279.18452
Cc1cnc(NC(=O)CCN(C=O)CCC(=O)O)o1;-191.87386
Cc1cnc(NC(=O)CCN(C=O)C(C#N)Cc2ccccc2)o1;-42.75732
Cc1cnc(NC(=O)CCN(C=O)C(C#N)CC#N)o1;-30.81275
Cc1cnc(NC(=O)CCN(C=O)C(C#N)CO)o1;-107.30716
Cc1cnc(NC(=O)CCN(C=O)CC#N)o1;-57.97648
Cc1cnc(NC(=O)CCN(C=O)CC(N)=O)o1;-138.03672
Cc1cnc(NC(=O)CCN(C=O)CC(=O)N(CCC#N)CC(=O)O)o1;-200.64318
Cc1cnc(NC(=O)CCN(C=O)CC(=O)NCCC#N)o1;-115.12105
Cc1cnc(NC(=O)CCN(C=O)CC(=O)N(CC#N)CCC#N)o1;-77.23963
Cc1cnc(NC(=O)CCN(C=O)CC(=O)N(CC#N)CC#N)o1;-69.90748
Cc1cnc(NC(=O)CCN(C=O)CC(=O)NC(C#N)CC#N)o1;-79.91529
Cc1cnc(NC(=O)CCN(C=O)CC(=O)N(CC#N)CC(=O)O)o1;-192.11303
Cc1cnc(NC(=O)CCN(C=O)CC(=O)NCC#N)o1;-107.59851
Cc1cnc(NC(=O)CCN(C=O)CC(=O)NCC(N)=O)o1;-185.93436
Cc1cnc(NC(=O)CCN(C=O)CC(=O)NCC(=O)O)o1;-233.20263
Cc1cnc(NC(=O)CCN(C=O)CC(=O)O)o1;-181.03709
Cc1cnc(NC(=O)CCNC(=O)CNC(=N)NC(=N)N)o1;-67.87752
Cc1cnc(NC(=O)CC(NC(=O)CNC(=N)N)C(=O)Nc2ncc(C)o2)o1;-126.54273
Cc1cnc(NC(=O)CCNC(=O)CNC(=N)N)o1;-83.6326
Cc1cnc(NC(=O)CCNC(=O)CNC(N)=O)o1;-140.70533
Cc1cnc(NC(=O)CC(=O)C(=O)Nc2ncc(C)o2)o1;-116.69383
Cc1cnc(NC(=O)CC(O)C(=O)Nc2ncc(C)o2)o1;-139.72862
Cc1cnc(NC(=O)C(C)O)o1;-99.61909
Cc1cnc(NC(=O)CN2CCC(N)=NC2=O)o1;-66.64371
Cc1cnc(NC(=O)CN2CC(N)=NC2=O)o1;-56.30616
Cc1cnc(NC(=O)CN(CCC#N)CCC#N)o1;7.89871
Cc1cnc(NC(=O)CN(CCC#N)CCC(N)=O)o1;-67.0218
Cc1cnc(NC(=O)CN(CCC#N)CC(N)=O)o1;-64.42015
Cc1cnc(NC(=O)CN(CCC#N)C(=N)NC(=N)N)o1;19.84662
Cc1cnc(NC(=O)CN(CCC#N)C(=N)N)o1;6.59473
Cc1cnc(NC(=O)CN(CCC#N)C(N)=O)o1;-60.28822
Cc1cnc(NC(=O)CN(CCC(N)=O)CCC(N)=O)o1;-143.70683
Cc1cnc(NC(=O)CN(CCC(N)=O)CC(N)=O)o1;-141.76838
Cc1cnc(NC(=O)CN(CCC(N)=O)C(=N)N)o1;-70.51089
Cc1cnc(NC(=O)CN(CCC(N)=O)C(N)=O)o1;-142.90339
